NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V,index,activity_type,duration,from,to,comment
2,2017-06-29 19:59:15.360,-3909,10146,-12051,-498,237,-40,-161,74,-235,43,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
4,2017-06-29 19:59:15.380,-3891,10106,-12094,-501,305,-85,-164,70,-234,47,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
6,2017-06-29 19:59:15.400,-3861,10110,-12147,-475,320,-83,-170,70,-240,50,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
8,2017-06-29 19:59:15.420,-3820,10161,-12109,-425,346,-47,-197,67,-264,65,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
10,2017-06-29 19:59:15.440,-3772,10088,-12118,-361,365,18,-206,34,-240,86,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
12,2017-06-29 19:59:15.460,-3661,10049,-12104,-299,413,121,-208,19,-227,94,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
14,2017-06-29 19:59:15.480,-3783,10067,-12088,-260,427,225,-221,22,-243,99,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
16,2017-06-29 19:59:15.500,-3667,10103,-12112,-254,456,294,-234,23,-257,105,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
18,2017-06-29 19:59:15.520,-3562,10122,-12100,-222,463,334,-247,-8,-239,127,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
20,2017-06-29 19:59:15.540,-3480,10045,-12088,-208,440,358,-238,2,-240,118,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
22,2017-06-29 19:59:15.560,-3440,10044,-12010,-263,438,345,-232,16,-248,108,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
24,2017-06-29 19:59:15.580,-3464,10128,-12061,-347,437,346,-197,49,-246,74,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
26,2017-06-29 19:59:15.600,-3432,10124,-12143,-444,384,353,-177,64,-241,56,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
28,2017-06-29 19:59:15.620,-3344,10192,-12042,-478,303,363,-184,58,-242,63,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
30,2017-06-29 19:59:15.640,-3350,10284,-12016,-499,311,423,-194,48,-242,73,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
32,2017-06-29 19:59:15.660,-3358,10283,-12030,-470,293,447,-181,62,-243,59,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
34,2017-06-29 19:59:15.680,-3344,10295,-12153,-427,228,513,-183,60,-243,61,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
36,2017-06-29 19:59:15.700,-3297,10406,-12016,-341,183,552,-176,57,-233,59,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
38,2017-06-29 19:59:15.720,-3220,10465,-11984,-278,325,592,-160,58,-218,51,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
40,2017-06-29 19:59:15.740,-3172,10483,-12093,-267,443,569,-150,68,-218,41,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
42,2017-06-29 19:59:15.760,-3192,10493,-12101,-121,406,514,-167,64,-231,51,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
44,2017-06-29 19:59:15.780,-3106,10500,-12137,-5,328,448,-166,51,-217,57,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
46,2017-06-29 19:59:15.800,-2985,10478,-12081,63,310,371,-171,39,-210,66,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
48,2017-06-29 19:59:15.820,-2958,10359,-12139,49,342,284,-185,21,-206,82,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
50,2017-06-29 19:59:15.840,-2934,10306,-12135,68,316,287,-170,32,-202,69,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
52,2017-06-29 19:59:15.860,-2940,10262,-12198,70,254,300,-185,34,-219,75,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
54,2017-06-29 19:59:15.880,-2963,10267,-12166,40,162,339,-224,18,-242,103,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
56,2017-06-29 19:59:15.900,-2902,10263,-12186,-27,104,366,-197,27,-224,85,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
58,2017-06-29 19:59:15.920,-2942,10295,-12128,-55,28,383,-183,28,-211,77,2,Walking&party,04:37,2017-06-29 16:45:00.0,2017-06-29 21:22:00.0,null
441244,2017-07-02 12:35:53.306,-3531,2798,-15976,-193,263,-443,-159,18,-177,70,7,"Picnic ",05:10,2017-07-02 12:25:00.0,2017-07-02 17:35:00.0,null
441246,2017-07-02 12:35:53.326,-3605,2878,-15917,-109,92,-459,-160,26,-186,67,7,"Picnic ",05:10,2017-07-02 12:25:00.0,2017-07-02 17:35:00.0,null
441248,2017-07-02 12:35:53.346,-3476,2942,-15829,-157,-37,-459,-150,25,-175,62,7,"Picnic ",05:10,2017-07-02 12:25:00.0,2017-07-02 17:35:00.0,null
441217,2017-07-02 12:35:53.36,-3564,2700,-15836,-437,-129,-99,-136,51,-187,42,7,"Picnic ",05:10,2017-07-02 12:25:00.0,2017-07-02 17:35:00.0,null
441251,2017-07-02 12:35:53.376,-3563,2897,-15753,-255,-27,-515,-146,32,-178,57,7,"Picnic ",05:10,2017-07-02 12:25:00.0,2017-07-02 17:35:00.0,null
441253,2017-07-02 12:35:53.396,-3634,2847,-15696,-198,30,-541,-161,39,-200,61,7,"Picnic ",05:10,2017-07-02 12:25:00.0,2017-07-02 17:35:00.0,null
441255,2017-07-02 12:35:53.416,-3608,2891,-15712,-121,75,-550,-144,30,-174,57,7,"Picnic ",05:10,2017-07-02 12:25:00.0,2017-07-02 17:35:00.0,null
441257,2017-07-02 12:35:53.436,-3540,2973,-15783,-108,120,-604,-157,40,-197,58,7,"Picnic ",05:10,2017-07-02 12:25:00.0,2017-07-02 17:35:00.0,null
441259,2017-07-02 12:35:53.456,-3604,2977,-15712,-157,172,-693,-147,42,-189,52,7,"Picnic ",05:10,2017-07-02 12:25:00.0,2017-07-02 17:35:00.0,null
441260,2017-07-02 12:35:53.466,-3515,2851,-15792,-179,193,-733,-141,53,-194,44,7,"Picnic ",05:10,2017-07-02 12:25:00.0,2017-07-02 17:35:00.0,null
441262,2017-07-02 12:35:53.486,-3478,2763,-15810,-147,227,-757,-147,26,-173,60,7,"Picnic ",05:10,2017-07-02 12:25:00.0,2017-07-02 17:35:00.0,null
441264,2017-07-02 12:35:53.506,-3437,2761,-15784,-116,269,-743,-138,46,-184,46,7,"Picnic ",05:10,2017-07-02 12:25:00.0,2017-07-02 17:35:00.0,null
441266,2017-07-02 12:35:53.526,-3472,2745,-15793,-110,278,-742,-157,32,-189,62,7,"Picnic ",05:10,2017-07-02 12:25:00.0,2017-07-02 17:35:00.0,null
441268,2017-07-02 12:35:53.546,-3469,2860,-15855,-104,270,-734,-135,43,-178,46,7,"Picnic ",05:10,2017-07-02 12:25:00.0,2017-07-02 17:35:00.0,null
441219,2017-07-02 12:35:53.56,-3578,2692,-15884,-465,-180,-131,-129,26,-155,51,7,"Picnic ",05:10,2017-07-02 12:25:00.0,2017-07-02 17:35:00.0,null
441271,2017-07-02 12:35:53.576,-3405,2834,-15893,-69,230,-783,-141,58,-199,41,7,"Picnic ",05:10,2017-07-02 12:25:00.0,2017-07-02 17:35:00.0,null
441273,2017-07-02 12:35:53.596,-3464,2791,-15856,-54,256,-759,-128,50,-178,39,7,"Picnic ",05:10,2017-07-02 12:25:00.0,2017-07-02 17:35:00.0,null
441275,2017-07-02 12:35:53.616,-3384,2743,-15863,-36,248,-633,-140,53,-193,43,7,"Picnic ",05:10,2017-07-02 12:25:00.0,2017-07-02 17:35:00.0,null
441277,2017-07-02 12:35:53.636,-3373,2719,-15920,-45,228,-473,-140,38,-178,51,7,"Picnic ",05:10,2017-07-02 12:25:00.0,2017-07-02 17:35:00.0,null
441279,2017-07-02 12:35:53.656,-3509,2704,-15866,-39,227,-311,-146,38,-184,54,7,"Picnic ",05:10,2017-07-02 12:25:00.0,2017-07-02 17:35:00.0,null
441280,2017-07-02 12:35:53.666,-3500,2788,-15893,-16,225,-230,-143,39,-182,52,7,"Picnic ",05:10,2017-07-02 12:25:00.0,2017-07-02 17:35:00.0,null
441282,2017-07-02 12:35:53.686,-3589,2754,-15974,63,186,-132,-168,0,-168,84,7,"Picnic ",05:10,2017-07-02 12:25:00.0,2017-07-02 17:35:00.0,null
441284,2017-07-02 12:35:53.706,-3516,2821,-15897,154,158,-80,-210,-27,-183,118,7,"Picnic ",05:10,2017-07-02 12:25:00.0,2017-07-02 17:35:00.0,null
